metric,model,mean diff,P(T test),P(wilcoxon test),P(ks test)
ROUGE-2,Fusion & Ordering,-0.10950299999999996,0.018701749637786994,0.005647044502368355,0.06909243488939809
ROUGE-2,Fusion & Ordering+Fusion,0.009986600000000068,0.7987754726284179,0.7533456839567488,0.9999968988973139
ROUGE-2,Baseline & Fusion,0.11362299999999986,0.0104491885383109,0.0065922694080604635,0.13997518016385846
ROUGE-2,Baseline & Ordering,0.0041199999999999015,0.934514036945896,0.6214899488887016,0.1930416519246901
ROUGE-2,Ordering & Ordering+Fusion,0.11948960000000003,0.009930214650413013,0.0009836990976189932,0.03137665215307245
ROUGE-2,Baseline & Ordering+Fusion,0.12360959999999993,0.005105056012318804,0.004456609445567595,0.06909243488939809
ROUGE-SU4,Fusion & Ordering,-0.10950299999999996,0.018701749637786994,0.005647044502368355,0.06909243488939809
ROUGE-SU4,Fusion & Ordering+Fusion,0.009986600000000068,0.7987754726284179,0.7533456839567488,0.9999968988973139
ROUGE-SU4,Baseline & Fusion,0.11362299999999986,0.0104491885383109,0.0065922694080604635,0.13997518016385846
ROUGE-SU4,Baseline & Ordering,0.0041199999999999015,0.934514036945896,0.6214899488887016,0.1930416519246901
ROUGE-SU4,Ordering & Ordering+Fusion,0.11948960000000003,0.009930214650413013,0.0009836990976189932,0.03137665215307245
ROUGE-SU4,Baseline & Ordering+Fusion,0.12360959999999993,0.005105056012318804,0.004456609445567595,0.06909243488939809
